localidade;data;massa_kg;n_cilindros
Vidal;15/05/2023;3,1;2
Vidal;23/06/2023;3,5;2
Engenho;19/10/2023;8;8
Engenho;31/01/2024;8,5;4
Batismo;18/04/2024;9;12
Tartaruga;23/05/2024;0,8;8
Engenho;28/08/2024;3,5;4
Engenho;01/11/2024;25;10
Engenho;07/01/2025;2,2;2
Vidal;28/01/2025;0,5;2
Farol;28/01/2025;0,26;2
Engenho;05/02/2025;14;8
Engenho;02/04/2025;68;30
Engenho;23/04/2025;5,5;8
Engenho;15/05/2025;21,2;12
Engenho;04/06/2025;13;20
Engenho;18/06/2025;32,6;20
Elefante;29/08/2025;58;12
Elefante;10/09/2025;1;2
Elefante;10/09/2025;41,5;10
Batismo;10/09/2025;1,5;12
Elefante;24/09/2025;53;20
Engenho;01/10/2025;24,5;24
Elefante;31/10/2025;0,5;4
Engenho;31/10/2025;1,5;4
Vidal;03/11/2025;22,5;18
Engenho;04/03/2026;12;18
Elefante;12/03/2026;80,3;22
Elefante;30/03/2026;93,3;24
Engenho;16/04/2026;18,8;8
;;;
;;;
;;;
;;;
;;;
;;;
